real_name,obs_e:228433.0_n:8192778.0_x:14153_y:4197,obs_e:229788.0_n:8193427.0_x:12798_y:3548,obs_e:231595.0_n:8198480.0_x:10991_y:-1505,obs_e:231694.0_n:8197619.0_x:10892_y:-644,obs_e:233194.0_n:8190440.0_x:9392_y:6535,obs_e:233908.0_n:8189011.0_x:8678_y:7964,obs_e:234195.0_n:8198194.0_x:8391_y:-1219,obs_e:235327.0_n:8184950.0_x:7259_y:12025,obs_e:235614.0_n:8190354.0_x:6972_y:6621,obs_e:235682.0_n:8187652.0_x:6904_y:9323,obs_e:236163.0_n:8190958.0_x:6423_y:6017,obs_e:236538.0_n:8191417.0_x:6048_y:5558,obs_e:237006.0_n:8202926.0_x:5580_y:-5951,obs_e:237454.0_n:8185525.0_x:5132_y:11450,obs_e:237496.0_n:8190167.0_x:5090_y:6808,obs_e:238665.0_n:8188244.0_x:3921_y:8731,obs_e:238954.0_n:8189678.0_x:3632_y:7297,obs_e:239587.0_n:8185586.0_x:2999_y:11389,obs_e:239760.0_n:8190677.0_x:2826_y:6298,obs_e:240931.0_n:8186974.0_x:1655_y:10001,obs_e:241878.0_n:8190407.0_x:708_y:6568,obs_e:244750.0_n:8189532.0_x:-2164_y:7443,obs_e:244814.0_n:8189459.0_x:-2228_y:7516,obs_e:245486.0_n:8201343.0_x:-2900_y:-4368
60,0.628976,0.80234,1.14805,1.18228,1.0852,1.02729,1.71737,0.707333,1.44991,1.05746,1.63876,1.78376,1.79796,0.905461,1.71218,1.45965,1.79968,1.02741,2.12692,1.33694,2.20683,1.90232,1.87949,2.57154
61,0.816286,1.04128,1.48994,1.53436,1.40837,1.33322,2.2288,0.917978,1.8817,1.37238,2.12679,2.31497,2.3334,1.17511,2.22207,1.89433,2.33563,1.33338,2.76033,1.73508,2.86402,2.46883,2.4392,3.33735
62,0.410069,0.523096,0.748487,0.770801,0.70751,0.669757,1.11966,0.461155,0.945288,0.689426,1.06841,1.16295,1.1722,0.590327,1.11628,0.951635,1.17333,0.669836,1.38668,0.871633,1.43877,1.24024,1.22535,1.67655
63,0.433476,0.552956,0.791212,0.814799,0.747896,0.707988,1.18357,0.487478,0.999247,0.72878,1.1294,1.22933,1.23912,0.624024,1.18,1.00596,1.2403,0.708072,1.46583,0.921387,1.5209,1.31104,1.2953,1.77225
64,1.27588,1.62755,2.32883,2.39826,2.20133,2.08387,3.48369,1.43483,2.94116,2.14507,3.32424,3.61837,3.64718,1.83674,3.47317,2.9609,3.65067,2.08412,4.31448,2.71199,4.47657,3.85887,3.81255,5.21639
65,0.833387,1.06309,1.52116,1.56651,1.43788,1.36115,2.27549,0.937209,1.92112,1.40113,2.17134,2.36347,2.38228,1.19973,2.26862,1.93402,2.38456,1.36131,2.81815,1.77143,2.92402,2.52055,2.4903,3.40726
66,0.29866,0.38098,0.545136,0.561388,0.515292,0.487796,0.815467,0.335867,0.68847,0.502121,0.778143,0.846994,0.853737,0.429945,0.813004,0.693093,0.854555,0.487853,1.00994,0.634826,1.04788,0.903289,0.892447,1.22106
67,0.100797,0.128579,0.183981,0.189466,0.173909,0.164629,0.275217,0.113354,0.232356,0.169464,0.262621,0.285858,0.288133,0.145105,0.274386,0.233916,0.288409,0.164649,0.340851,0.214251,0.353656,0.304857,0.301198,0.412103
68,0.237184,0.30256,0.432926,0.445832,0.409224,0.387388,0.647612,0.266732,0.546756,0.398765,0.617971,0.67265,0.678004,0.341446,0.645656,0.550427,0.678654,0.387434,0.802055,0.504154,0.832186,0.717357,0.708747,0.969718
69,0.247676,0.315942,0.452075,0.465552,0.427325,0.404523,0.676257,0.278531,0.57094,0.416403,0.645305,0.702402,0.707994,0.356549,0.674215,0.574773,0.708672,0.404571,0.837532,0.526453,0.868995,0.749087,0.740096,1.01261
70,0.022605,0.028836,0.04126,0.042491,0.039002,0.03692,0.061721,0.025421,0.052109,0.038005,0.058896,0.064108,0.064618,0.032542,0.061535,0.052459,0.06468,0.036925,0.076441,0.048049,0.079312,0.068368,0.067548,0.09242
71,0.33603,0.42865,0.613345,0.631631,0.579767,0.548831,0.917501,0.377892,0.774614,0.564949,0.875507,0.952974,0.96056,0.483742,0.91473,0.779815,0.96148,0.548896,1.13631,0.714257,1.179,1.01631,1.00411,1.37384
72,0.026516,0.033824,0.048398,0.049841,0.045748,0.043307,0.072398,0.029819,0.061123,0.044579,0.069085,0.075197,0.075796,0.038171,0.07218,0.061534,0.075869,0.043312,0.089664,0.056361,0.093033,0.080195,0.079233,0.108408
73,0.461089,0.588179,0.841612,0.866702,0.795536,0.753087,1.25896,0.518531,1.0629,0.775204,1.20134,1.30764,1.31805,0.663774,1.25516,1.07004,1.31931,0.753176,1.5592,0.98008,1.61778,1.39455,1.37781,1.88514
74,1.00061,1.27641,1.82639,1.88084,1.7264,1.63428,2.73209,1.12527,2.3066,1.68227,2.60704,2.83771,2.8603,1.44046,2.72383,2.32209,2.86304,1.63447,3.38364,2.12688,3.51075,3.02632,2.99,4.09096
75,0.214513,0.273639,0.391544,0.403217,0.370108,0.350359,0.585709,0.241236,0.494493,0.360649,0.558901,0.608354,0.613196,0.308808,0.58394,0.497814,0.613784,0.350401,0.725389,0.455963,0.75264,0.648787,0.641,0.877026
76,0.566735,0.722945,1.03445,1.06528,0.977813,0.925637,1.54742,0.637338,1.30643,0.952821,1.4766,1.60725,1.62004,0.81586,1.54275,1.31521,1.62159,0.925746,1.91645,1.20464,1.98845,1.71407,1.6935,2.31707
77,0.138751,0.176996,0.253259,0.260809,0.239394,0.22662,0.378849,0.156037,0.319849,0.233275,0.361509,0.393496,0.396629,0.199744,0.377705,0.321996,0.397008,0.226647,0.469197,0.294927,0.486824,0.419649,0.414613,0.567279
78,0.068455,0.087324,0.12495,0.128675,0.118109,0.111807,0.186912,0.076983,0.157803,0.11509,0.178357,0.194138,0.195683,0.098547,0.186347,0.158862,0.195871,0.11182,0.231487,0.145507,0.240183,0.207041,0.204556,0.279877
79,0.270033,0.344462,0.492884,0.507577,0.4659,0.441039,0.737303,0.303674,0.622479,0.453992,0.703556,0.765808,0.771904,0.388734,0.735076,0.626658,0.772644,0.441092,0.913135,0.573976,0.947439,0.816707,0.806905,1.10402
80,0.064595,0.082399,0.117903,0.121418,0.111448,0.105501,0.17637,0.072642,0.148903,0.108599,0.168298,0.183189,0.184647,0.092989,0.175838,0.149903,0.184824,0.105514,0.218431,0.137301,0.226637,0.195365,0.19302,0.264092
81,0.333139,0.424962,0.608069,0.626197,0.574779,0.544109,0.909608,0.374641,0.76795,0.560089,0.867976,0.944775,0.952296,0.47958,0.906861,0.773106,0.953208,0.544173,1.12653,0.708113,1.16885,1.00757,0.995476,1.36202
82,0.128662,0.164125,0.234842,0.241843,0.221985,0.21014,0.351299,0.14469,0.29659,0.216312,0.335221,0.364881,0.367786,0.185219,0.350238,0.298581,0.368138,0.210165,0.435078,0.27348,0.451422,0.389133,0.384462,0.526027
83,0.549398,0.700828,1.0028,1.03269,0.9479,0.89732,1.50008,0.617841,1.26647,0.923672,1.43142,1.55808,1.57048,0.790902,1.49555,1.27497,1.57199,0.897426,1.85783,1.16779,1.92762,1.66164,1.64169,2.24619
84,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
85,0.28243,0.360277,0.515512,0.53088,0.487289,0.461288,0.771153,0.317615,0.651057,0.474835,0.735857,0.800967,0.807343,0.406581,0.768824,0.655428,0.808116,0.461342,0.955058,0.600328,0.990937,0.854202,0.84395,1.1547
