real_name,obs_e:228433.0_n:8192778.0_x:14153_y:4197,obs_e:229788.0_n:8193427.0_x:12798_y:3548,obs_e:231595.0_n:8198480.0_x:10991_y:-1505,obs_e:231694.0_n:8197619.0_x:10892_y:-644,obs_e:233194.0_n:8190440.0_x:9392_y:6535,obs_e:233908.0_n:8189011.0_x:8678_y:7964,obs_e:234195.0_n:8198194.0_x:8391_y:-1219,obs_e:235327.0_n:8184950.0_x:7259_y:12025,obs_e:235614.0_n:8190354.0_x:6972_y:6621,obs_e:235682.0_n:8187652.0_x:6904_y:9323,obs_e:236163.0_n:8190958.0_x:6423_y:6017,obs_e:236538.0_n:8191417.0_x:6048_y:5558,obs_e:237006.0_n:8202926.0_x:5580_y:-5951,obs_e:237454.0_n:8185525.0_x:5132_y:11450,obs_e:237496.0_n:8190167.0_x:5090_y:6808,obs_e:238665.0_n:8188244.0_x:3921_y:8731,obs_e:238954.0_n:8189678.0_x:3632_y:7297,obs_e:239587.0_n:8185586.0_x:2999_y:11389,obs_e:239760.0_n:8190677.0_x:2826_y:6298,obs_e:240931.0_n:8186974.0_x:1655_y:10001,obs_e:241878.0_n:8190407.0_x:708_y:6568,obs_e:244750.0_n:8189532.0_x:-2164_y:7443,obs_e:244814.0_n:8189459.0_x:-2228_y:7516,obs_e:245486.0_n:8201343.0_x:-2900_y:-4368
50,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
51,2.17752,2.7777,3.97455,4.09304,3.75696,3.55649,5.94552,2.44879,5.01959,3.66094,5.67339,6.17539,6.22454,3.13471,5.92756,5.0533,6.23051,3.55691,7.36341,4.62847,7.64004,6.58582,6.50678,8.90267
52,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
53,2.22319,2.83596,4.05792,4.17889,3.83576,3.63108,6.07022,2.50015,5.12487,3.73772,5.79239,6.30491,6.3551,3.20045,6.05189,5.15928,6.36118,3.63151,7.51785,4.72555,7.80028,6.72395,6.64325,9.08939
54,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
55,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
56,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
57,2.02878,2.58797,3.70307,3.81346,3.50034,3.31356,5.5394,2.28152,4.67672,3.41087,5.28587,5.75357,5.79937,2.92058,5.52267,4.70812,5.80492,3.31395,6.86045,4.31232,7.11817,6.13597,6.06233,8.29456
58,1.98016,2.52595,3.61432,3.72207,3.41645,3.23415,5.40665,2.22684,4.56464,3.32913,5.15919,5.61568,5.66039,2.85059,5.39032,4.59529,5.66581,3.23453,6.69604,4.20897,6.94759,5.98892,5.91704,8.09578
59,2.15516,2.74919,3.93375,4.05103,3.7184,3.51998,5.88449,2.42365,4.96807,3.62336,5.61516,6.11199,6.16065,3.10253,5.86672,5.00142,6.16655,3.5204,7.28783,4.58096,7.56161,6.51822,6.43999,8.81128
60,1.88571,2.40547,3.44193,3.54454,3.2535,3.07989,5.14878,2.12063,4.34693,3.17034,4.91312,5.34784,5.39041,2.71463,5.13323,4.37612,5.39557,3.08026,6.37666,4.00822,6.61622,5.70327,5.63482,7.70965
61,2.24274,2.86091,4.09361,4.21565,3.8695,3.66302,6.12361,2.52214,5.16995,3.7706,5.84334,6.36036,6.41099,3.2286,6.10512,5.20466,6.41714,3.66345,7.58398,4.76712,7.86889,6.7831,6.70169,9.16934
62,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
63,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
64,2.13118,2.7186,3.88999,4.00596,3.67702,3.48082,5.81902,2.39669,4.91279,3.58304,5.55268,6.04399,6.09211,3.06801,5.80145,4.94578,6.09794,3.48123,7.20675,4.53,7.47748,6.4457,6.36834,8.71325
65,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
66,2.03318,2.59359,3.71111,3.82174,3.50794,3.32076,5.55143,2.28647,4.68688,3.41828,5.29735,5.76606,5.81196,2.92693,5.53467,4.71835,5.81753,3.32115,6.87535,4.32169,7.13363,6.1493,6.07549,8.31258
67,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
68,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
69,1.91145,2.43831,3.48892,3.59294,3.29792,3.12194,5.21907,2.14958,4.40627,3.21363,4.98019,5.42085,5.464,2.75169,5.20331,4.43586,5.46923,3.12231,6.46372,4.06294,6.70654,5.78113,5.71175,7.8149
70,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
71,2.242,2.85996,4.09226,4.21426,3.86822,3.66181,6.1216,2.52131,5.16825,3.76935,5.84141,6.35827,6.40888,3.22754,6.10311,5.20295,6.41502,3.66225,7.58148,4.76555,7.86629,6.78086,6.69948,9.16632
72,2.00747,2.5608,3.66418,3.77342,3.46358,3.27877,5.48124,2.25756,4.62762,3.37506,5.23037,5.69316,5.73848,2.88992,5.46469,4.65869,5.74397,3.27915,6.78841,4.26704,7.04344,6.07155,5.99867,8.20747
73,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
74,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
75,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
76,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
77,2.05683,2.62375,3.75427,3.86619,3.54873,3.35937,5.616,2.31306,4.74139,3.45803,5.35895,5.83312,5.87955,2.96097,5.59903,4.77322,5.88519,3.35977,6.9553,4.37195,7.2166,6.22081,6.14615,8.40925
78,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
79,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
80,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
81,2.26051,2.88358,4.12605,4.24905,3.90016,3.69205,6.17214,2.54212,5.21092,3.80048,5.88964,6.41077,6.4618,3.25419,6.1535,5.24591,6.46799,3.69249,7.64408,4.80489,7.93124,6.83685,6.75479,9.24201
82,2.20166,2.8085,4.01862,4.13843,3.79862,3.59592,6.01145,2.47594,5.07525,3.70153,5.7363,6.24386,6.29356,3.16946,5.99329,5.10933,6.29959,3.59635,7.44506,4.6798,7.72475,6.65885,6.57893,9.00139
