real_name,obs_e:221457.0_n:8184523.0_x:221457_y:8184523,obs_e:223413.0_n:8178296.0_x:223413_y:8178296,obs_e:228433.0_n:8192778.0_x:228433_y:8192778,obs_e:229788.0_n:8193427.0_x:229788_y:8193427,obs_e:231595.0_n:8198480.0_x:231595_y:8198480,obs_e:231694.0_n:8197619.0_x:231694_y:8197619,obs_e:233194.0_n:8190440.0_x:233194_y:8190440,obs_e:233837.0_n:8195775.0_x:233837_y:8195775,obs_e:233908.0_n:8189011.0_x:233908_y:8189011,obs_e:234195.0_n:8198194.0_x:234195_y:8198194,obs_e:235327.0_n:8184950.0_x:235327_y:8184950,obs_e:235614.0_n:8190354.0_x:235614_y:8190354,obs_e:235682.0_n:8187652.0_x:235682_y:8187652,obs_e:236163.0_n:8190958.0_x:236163_y:8190958,obs_e:236538.0_n:8191417.0_x:236538_y:8191417,obs_e:236616.0_n:8177416.0_x:236616_y:8177416,obs_e:236686.0_n:8192411.0_x:236686_y:8192411,obs_e:237006.0_n:8202926.0_x:237006_y:8202926,obs_e:237454.0_n:8185525.0_x:237454_y:8185525,obs_e:237496.0_n:8190167.0_x:237496_y:8190167,obs_e:238665.0_n:8188244.0_x:238665_y:8188244,obs_e:238954.0_n:8189678.0_x:238954_y:8189678,obs_e:239587.0_n:8185586.0_x:239587_y:8185586,obs_e:239760.0_n:8190677.0_x:239760_y:8190677,obs_e:240931.0_n:8186974.0_x:240931_y:8186974,obs_e:241878.0_n:8190407.0_x:241878_y:8190407,obs_e:244750.0_n:8189532.0_x:244750_y:8189532,obs_e:244814.0_n:8189459.0_x:244814_y:8189459,obs_e:245486.0_n:8201343.0_x:245486_y:8201343,obs_e:247863.0_n:8185501.0_x:247863_y:8185501
48,0.007683,0.019462,0.415554,0.817654,0.525724,0.762296,4.95264,3.20805,6.2922,1.8789,7.06745,9.41212,9.34816,10.226,10.6624,2.2245,10.2613,0.553174,10.9964,12.7173,14.3818,14.7131,13.7937,15.1091,15.9127,16.2777,16.3217,16.3097,2.40473,11.7537
49,0.010435,0.025114,0.456153,0.837051,0.53555,0.749349,4.235,2.68819,5.30216,1.60793,6.01701,7.48372,7.61272,8.01891,8.29731,2.00358,7.94568,0.488251,8.9234,9.84142,11.1473,11.2985,10.9258,11.5486,12.3201,12.4288,12.4765,12.4698,1.8047,9.48803
50,0.378772,0.091796,8.51983,12.1928,18.807,20.0304,13.7897,28.1241,10.7684,28.0984,3.36022,16.9343,8.3638,19.8234,22.0424,0.134768,26.3288,16.5957,4.17291,17.1666,9.92532,14.635,3.77272,17.7226,5.35348,12.9149,5.49505,5.29141,7.2806,0.525586
51,1.04024,0.213484,13.3754,16.7152,21.4771,22.5041,14.5505,25.6369,11.1308,24.9721,3.57843,14.545,7.84527,15.9754,16.997,0.16391,19.5282,12.9839,3.73972,12.7912,7.33053,10.0139,2.94006,11.0858,3.63531,7.23618,2.82057,2.71746,3.40816,0.282387
52,2.22044,0.8639,9.2987,10.9001,13.3024,13.8028,10.085,15.8199,8.30488,15.5954,3.67754,10.4212,6.50041,11.335,12.0028,0.502789,13.4813,9.75046,3.81503,9.73637,6.4045,8.2343,3.24205,9.09464,3.85063,6.73021,3.34621,3.25305,3.95152,0.620767
53,2.06993,0.804728,10.3359,12.4985,15.875,16.5118,12.3164,19.7069,10.2319,19.5582,4.53048,13.3343,8.23779,14.6691,15.6484,0.573337,17.6343,12.8276,4.92442,12.8911,8.61181,11.1817,4.35358,12.547,5.35321,9.63931,5.02407,4.88776,6.05084,0.933969
54,0.388757,0.063651,9.54039,12.9762,18.4572,19.5771,12.4134,24.5857,9.27432,24.1027,2.50176,13.5578,6.52495,15.4495,16.8433,0.061699,19.898,12.3891,2.85693,12.5107,6.75231,9.91122,2.3176,11.5385,3.17056,7.57786,2.74148,2.62657,3.57804,0.179639
55,0.002688,0.009941,0.293374,0.638365,0.390585,0.589231,4.33332,2.70613,5.48903,1.52092,6.11334,7.84171,7.90464,8.37135,8.63453,1.72006,8.30672,0.377694,9.09642,9.98765,11.016,11.0827,10.8243,11.1973,11.8062,11.7118,11.7954,11.7963,1.83795,9.60201
56,0.005919,0.01405,0.297074,0.590812,0.362899,0.53669,4.1773,2.56453,5.51147,1.41606,6.36067,9.00665,8.84388,10.066,10.683,1.85405,10.2626,0.373791,10.8133,13.4067,15.668,16.47,14.5594,17.4165,18.0234,19.578,19.3719,19.3255,1.90113,11.7952
57,0.417794,0.07437,9.31486,12.613,17.8549,18.9207,12.1589,23.7103,9.16718,23.2408,2.59329,13.256,6.53067,15.0418,16.351,0.075884,19.2305,12.075,2.95138,12.2272,6.72938,9.72291,2.41371,11.2169,3.24582,7.40353,2.76858,2.65808,3.50041,0.210712
