real_name,obs_e:221457.0_n:8184523.0_x:221457_y:8184523,obs_e:223413.0_n:8178296.0_x:223413_y:8178296,obs_e:228433.0_n:8192778.0_x:228433_y:8192778,obs_e:229788.0_n:8193427.0_x:229788_y:8193427,obs_e:231595.0_n:8198480.0_x:231595_y:8198480,obs_e:231694.0_n:8197619.0_x:231694_y:8197619,obs_e:233194.0_n:8190440.0_x:233194_y:8190440,obs_e:233837.0_n:8195775.0_x:233837_y:8195775,obs_e:233908.0_n:8189011.0_x:233908_y:8189011,obs_e:234195.0_n:8198194.0_x:234195_y:8198194,obs_e:235327.0_n:8184950.0_x:235327_y:8184950,obs_e:235614.0_n:8190354.0_x:235614_y:8190354,obs_e:235682.0_n:8187652.0_x:235682_y:8187652,obs_e:236163.0_n:8190958.0_x:236163_y:8190958,obs_e:236538.0_n:8191417.0_x:236538_y:8191417,obs_e:236616.0_n:8177416.0_x:236616_y:8177416,obs_e:236686.0_n:8192411.0_x:236686_y:8192411,obs_e:237006.0_n:8202926.0_x:237006_y:8202926,obs_e:237454.0_n:8185525.0_x:237454_y:8185525,obs_e:237496.0_n:8190167.0_x:237496_y:8190167,obs_e:238665.0_n:8188244.0_x:238665_y:8188244,obs_e:238954.0_n:8189678.0_x:238954_y:8189678,obs_e:239587.0_n:8185586.0_x:239587_y:8185586,obs_e:239760.0_n:8190677.0_x:239760_y:8190677,obs_e:240931.0_n:8186974.0_x:240931_y:8186974,obs_e:241878.0_n:8190407.0_x:241878_y:8190407,obs_e:244750.0_n:8189532.0_x:244750_y:8189532,obs_e:244814.0_n:8189459.0_x:244814_y:8189459,obs_e:245486.0_n:8201343.0_x:245486_y:8201343,obs_e:247863.0_n:8185501.0_x:247863_y:8185501
204,0,0,0,0,0,0,3e-06,0,0.000191,0,0.122933,0.000496,0.020069,0.000475,0.000414,9.99972,9.3e-05,0,0.534765,0.007809,0.13859,0.037893,1.099,0.018857,0.55984,0.028284,0.01295,0.012919,0,0.002235
205,1.41062,0.004629,22.1251,18.6008,4.7911,6.75647,4.09368,6.06155,1.47334,2.59289,0.018121,1.26269,0.19893,1.21764,1.17503,0,1.47936,0.011584,0.005374,0.335528,0.028478,0.071208,0.000538,0.064465,0.000512,0.004345,1.5e-05,1.2e-05,1e-06,0
206,0.191129,2.83905,0.128334,0.149988,0.009481,0.019632,1.11042,0.117987,1.82421,0.026487,5.00637,1.37048,2.79658,1.16678,1.02167,12.6562,0.731234,0.000588,4.44485,1.50086,2.38476,1.6667,4.06201,1.23338,2.80151,1.14343,0.994124,1.00281,0.001422,1.32496
207,0,0.001488,6.4e-05,0.003262,9e-06,0.000168,0.800017,0.049682,1.77708,0.006375,2.58866,1.45842,1.96114,1.15502,0.902024,4.57044,0.494605,0,2.2993,1.76262,1.95992,1.9057,2.17353,1.54569,1.96359,1.47935,1.20328,1.22333,0.000564,1.65916
208,0.001355,0.001401,0.270871,0.850395,2.45646,3.25801,6.94358,20.5191,6.90842,18.799,2.48247,27.8424,10.5277,42.308,54.906,0.131006,69.3402,14.1302,7.86311,57.0663,42.6547,74.6652,15.2029,109.656,39.5404,128.549,107.345,105.025,86.2047,12.671
209,1.03691,1.35315,0.068037,0.048018,0.00285,0.004927,0.055756,0.007862,0.061297,0.001795,0.070789,0.032158,0.049663,0.023144,0.017637,0.046107,0.01194,1.3e-05,0.036484,0.01693,0.015344,0.009618,0.014133,0.004784,0.005433,0.001608,0.000277,0.000266,0,1.1e-05
210,0.882375,1.32567,5.67096,10.7738,0.97353,2.42724,148.145,38.2966,185.338,6.71027,87.9329,319.916,217.338,363.579,387.37,2.24547,369.209,0.028276,108.287,410.583,266.492,368.768,74.4458,387.403,91.504,199.858,22.7773,20.9191,0.016159,0.083162
211,3.01343,2.02769,4.43615,4.35525,2.84106,3.19247,4.43783,3.58122,4.43562,2.77177,4.13109,4.12592,4.21307,3.97912,3.86075,1.00143,3.71344,0.706305,3.69647,3.7518,3.50049,3.38177,2.98475,3.07021,2.62983,2.33755,1.24421,1.21925,0.163216,0.191547
212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000528,0,0,1.3e-05,0,4e-06,1e-06,0.00016,1e-06,0.000121,5e-06,2e-05,2.2e-05,0,0.00068
213,44.2151,47.2162,52.0925,52.3365,3.12466,7.04949,102.384,28.3207,109.387,6.38007,89.234,82.3187,94.5691,72.447,65.1929,2.3649,55.1768,0.011473,58.4783,62.9759,51.7672,46.4008,26.702,33.8244,18.3332,14.3514,1.54859,1.42783,0.000548,0.001608
